PERIOD	VALUE
2013-01-01	-0.040170847269400733
2013-01-02	-0.04176206384237511
2013-01-03	-0.05483853295321517
2013-01-04	-0.04340691881029724
2013-01-05	-0.043574604427823176
2013-01-06	-0.04366541973720718
2013-01-07	-0.02745717489627325
2013-01-08	-0.029854713709080598
2013-01-09	-0.035346703391615365
2013-01-10	-0.03168505031193744
2013-01-11	-0.029221009168652175
2013-01-12	-0.04685984509494604
2013-01-13	-0.043080283252705937
2013-01-14	-0.03214884604805807
2013-01-15	-0.032807057177582706
2013-01-16	-0.03641543844661137
2013-01-17	-0.0343645527662263
2013-01-18	-0.03915575490106829
2013-01-19	-0.04936543435965226
2013-01-20	-0.03713567992758244
2013-01-21	-0.026213672418947405
2013-01-22	-0.03110126761543252
2013-01-23	-0.04026317501093391
2013-01-24	-0.02546271495896845
2013-01-25	-0.024430595281893612
2013-01-26	-0.037242072864271634
2013-01-27	-0.03812527931823565
2013-01-28	-0.035594667202443066
2013-01-29	-0.02839218917731679
2013-01-30	-0.04358918430858861
2013-01-31	-0.02394497776500191
2013-02-01	-0.03339953363288317
2013-02-02	-0.03791050793604119
2013-02-03	-0.03915968746345018
2013-02-04	-0.033614282334666255
2013-02-05	-0.028221421282271085
2013-02-06	-0.02701501419013997
2013-02-07	-0.040048754281143205
2013-02-08	-0.03465983289755159
2013-02-09	-0.04322984235409065
2013-02-10	-0.03903745754732014
2013-02-11	-0.03836726744790251
2013-02-12	-0.029726549107932078
2013-02-13	-0.03904651682920157
2013-02-14	-0.032608229661271
2013-02-15	-0.035382448565161685
2013-02-16	-0.042902247187024206
2013-02-17	-0.04007859340472946
2013-02-18	-0.03267267197692563
2013-02-19	-0.028621008694833715
2013-02-20	-0.028934453360081325
2013-02-21	-0.02441215306435285
2013-02-22	-0.0390459291359576
2013-02-23	-0.04101963935737951
2013-02-24	-0.038577341304053825
2013-02-25	-0.026206102682377684
2013-02-26	-0.035342098943114686
2013-02-27	-0.035736348572869066
2013-02-28	-0.032515228403450266
2013-03-01	-0.03924076463844511
2013-03-02	-0.03340124243445751
2013-03-03	-0.046865436439453324
2013-03-04	-0.032172576100030374
2013-03-05	-0.03169986867815397
2013-03-06	-0.030837812867544744
2013-03-07	-0.030895079460183814
2013-03-08	-0.031419776611448944
2013-03-09	-0.04072736407743198
2013-03-10	-0.039826239770177164
2013-03-11	-0.032017127362595994
2013-03-12	-0.038169847345112806
2013-03-13	-0.026741546574365685
2013-03-14	-0.034817618784576385
2013-03-15	-0.040831225401073715
2013-03-16	-0.038877888420144245
2013-03-17	-0.030890322059337526
2013-03-18	-0.024650821165954594
2013-03-19	-0.032433316509496136
2013-03-20	-0.03169429445445113
2013-03-21	-0.03522611049189437
2013-03-22	-0.048844779194564376
2013-03-23	-0.04319063625582808
2013-03-24	-0.038483153575606624
2013-03-25	-0.03540685945047734
2013-03-26	-0.03194158525330769
2013-03-27	-0.0353271316877789
2013-03-28	-0.028269409530815512
2013-03-29	-0.03530513935445464
2013-03-30	-0.04100217819322313
2013-03-31	-0.04341297287334002
2013-04-01	-0.039912740329039874
2013-04-02	-0.03038162190205894
2013-04-03	-0.025382053343403668
2013-04-04	-0.0323857452094728
2013-04-05	-0.038053190838139246
2013-04-06	-0.02775258900982413
2013-04-07	-0.03395396795498683
2013-04-08	-0.027742755725908022
2013-04-09	-0.02812715170449305
2013-04-10	-0.03288051658711909
2013-04-11	-0.02638920186027554
2013-04-12	-0.027550129368576266
2013-04-13	-0.03976293046481175
2013-04-14	-0.029806542427970817
2013-04-15	-0.02690636994836231
2013-04-16	-0.034580131730633006
2013-04-17	-0.0315452350154215
2013-04-18	-0.037206035678973466
2013-04-19	-0.038340940519005134
2013-04-20	-0.04569272991691022
2013-04-21	-0.04324163288699944
2013-04-22	-0.024300795809364846
2013-04-23	-0.027730629042217576
2013-04-24	-0.028949658588902243
2013-04-25	-0.018385020624965165
2013-04-26	-0.035961559344232945
2013-04-27	-0.03442838330127791
2013-04-28	-0.033829524256270845
2013-04-29	-0.03158806408505502
2013-04-30	-0.04559500115750957
2013-05-01	-0.04057099846471572
2013-05-02	-0.036924250647329813
2013-05-03	-0.03722916515512897
2013-05-04	-0.03873127755789641
2013-05-05	-0.03172769310020039
2013-05-06	-0.029637590290359374
2013-05-07	-0.029523293176416034
2013-05-08	-0.025017453259846806
2013-05-09	-0.033310045606320136
2013-05-10	-0.042764743704464925
2013-05-11	-0.03747050580305178
2013-05-12	-0.03384989671468691
2013-05-13	-0.02251740145323456
2013-05-14	-0.01380516608640256
2013-05-15	-0.02716896833884061
2013-05-16	-0.03013079835890488
2013-05-17	-0.026026641835593105
2013-05-18	-0.03116755478689273
2013-05-19	-0.03244963241774198
2013-05-20	-0.029553774165879856
2013-05-21	-0.02222459966925272
2013-05-22	-0.028085310217664444
2013-05-23	-0.01904981604971831
2013-05-24	-0.026528370883413872
2013-05-25	-0.03251837072438192
2013-05-26	-0.03826160701170908
2013-05-27	-0.028988897471618383
2013-05-28	-0.0259772873125491
2013-05-29	-0.025466434482894186
2013-05-30	-0.03221153673701462
2013-05-31	-0.021518928539742854
2013-06-01	-0.03709165528249689
2013-06-02	-0.03523647154810237
2013-06-03	-0.03218264998437402
2013-06-04	-0.02160090192323201
2013-06-05	-0.02116179439928184
2013-06-06	-0.024601460227192035
2013-06-07	-0.03126281110599408
2013-06-08	-0.027026765657125557
2013-06-09	-0.03032118320688517
2013-06-10	-0.028783898286229036
2013-06-11	-0.03313508256038425
2013-06-12	-0.028255282186368032
2013-06-13	-0.03141509231627631
2013-06-14	-0.033270034202106794
2013-06-15	-0.03743162552375888
2013-06-16	-0.022099624423555772
2013-06-17	-0.028917286944313135
2013-06-18	-0.01805335837791433
2013-06-19	-0.0322612425328679
2013-06-20	-0.023082991001186208
2013-06-21	-0.03913496041006917
2013-06-22	-0.020582686245450316
2013-06-23	-0.03026859707800754
2013-06-24	-0.02722032473692572
2013-06-25	-0.0293512151751473
2013-06-26	-0.032320458167837254
2013-06-27	-0.03535264608129113
2013-06-28	-0.030248281050541233
2013-06-29	-0.028406716084420955
2013-06-30	-0.028301863143088773
2013-07-01	-0.03201962030234424
2013-07-02	-0.03546913749940794
2013-07-03	-0.029475825691873472
2013-07-04	-0.03382605287397986
2013-07-05	-0.033122759903160395
2013-07-06	-0.025879603012584587
2013-07-07	-0.0258570901085263
2013-07-08	-0.03182842333252221
2013-07-09	-0.03282902464249497
2013-07-10	-0.036133273705007685
2013-07-11	-0.03238245387259912
2013-07-12	-0.04014631652582345
2013-07-13	-0.03098300670017954
2013-07-14	-0.0313062542013841
2013-07-15	-0.03529362482177447
2013-07-16	-0.030914977357699075
2013-07-17	-0.03392834292231896
2013-07-18	-0.03666290667598711
2013-07-19	-0.036850481161593916
2013-07-20	-0.0326765518708541
2013-07-21	-0.030244846046408785
2013-07-22	-0.03435520727128161
2013-07-23	-0.03386915229556147
2013-07-24	-0.03124028352287287
2013-07-25	-0.039860356126485
2013-07-26	-0.02960478978722863
2013-07-27	-0.03364407088723933
2013-07-28	-0.022831520617251855
2013-07-29	-0.03131761135890171
2013-07-30	-0.03657557592388985
2013-07-31	-0.037542929199911944
2013-08-01	-0.029405586089068896
2013-08-02	-0.0355117798817156
2013-08-03	-0.03249041547687686
2013-08-04	-0.029784249134257625
2013-08-05	-0.03553751503307131
2013-08-06	-0.03114645036864295
2013-08-07	-0.02453715655369687
2013-08-08	-0.03400440639246092
2013-08-09	-0.0390632551952467
2013-08-10	-0.028887178584041114
2013-08-11	-0.028874558617103377
2013-08-12	-0.03351884558220783
2013-08-13	-0.037444667069863706
2013-08-14	-0.029228331405779774
2013-08-15	-0.021181941435036433
2013-08-16	-0.02807060671484113
2013-08-17	-0.01589458865633879
2013-08-18	-0.03113349971531592
2013-08-19	-0.022746993967108914
2013-08-20	-0.030363018246811563
2013-08-21	-0.031315788537536596
2013-08-22	-0.037324559625606574
2013-08-23	-0.024519502692901138
2013-08-24	-0.02998761536492904
2013-08-25	-0.027498488497869178
2013-08-26	-0.02637066945920699
2013-08-27	-0.017667075904302887
2013-08-28	-0.020172427554690175
2013-08-29	-0.024697690332195175
2013-08-30	-0.036332373251811614
2013-08-31	-0.02197043601099348
2013-09-01	-0.028481457597229337
2013-09-02	-0.024799708907403295
2013-09-03	-0.02541279666546816
2013-09-04	-0.020615027121478766
2013-09-05	-0.020892927424501426
2013-09-06	-0.0189133599860202
2013-09-07	-0.019482169525594284
2013-09-08	-0.026042979681043965
2013-09-09	-0.01673196831100633
2013-09-10	-0.018780125343917098
2013-09-11	-0.008994363826296509
2013-09-12	-0.02508955639528171
2013-09-13	-0.022864602653317183
2013-09-14	-0.031222173769257434
2013-09-15	-0.022181802746927645
2013-09-16	-0.02342853800190764
2013-09-17	-0.018441818651670716
2013-09-18	-0.02021409020400003
2013-09-19	-0.025554616317424908
2013-09-20	-0.01707278279140341
2013-09-21	-0.033480435688132935
2013-09-22	-0.0287727086635522
2013-09-23	-0.02437823805309776
2013-09-24	-0.020774918376742876
2013-09-25	-0.02474600278757888
2013-09-26	-0.01775072815406252
2013-09-27	-0.028170670926312556
2013-09-28	-0.035827832363678085
2013-09-29	-0.02666475080001813
2013-09-30	-0.02153943404533447
2013-10-01	-0.01996498308566272
2013-10-02	-0.020838124572456596
2013-10-03	-0.030205716397732056
2013-10-04	-0.02470370844568856
2013-10-05	-0.02734440277849976
2013-10-06	-0.023380148826417813
2013-10-07	-0.023472072803285227
2013-10-08	-0.013395189160537599
2013-10-09	-0.014703425417466692
2013-10-10	-0.020886094413875067
2013-10-11	-0.01915041483102302
2013-10-12	-0.027529570502225452
2013-10-13	-0.027730167997223838
2013-10-14	-0.019221542883255074
2013-10-15	-0.019542884757194637
2013-10-16	-0.01236172625174771
2013-10-17	-0.0186499615926925
2013-10-18	-0.02060863888743039
2013-10-19	-0.024394565284258936
2013-10-20	-0.018794408182300007
2013-10-21	-0.0278972402250183
2013-10-22	-0.03456403524720675
2013-10-23	-0.029750757479997926
2013-10-24	-0.023843274082056963
2013-10-25	-0.029323251226142676
2013-10-26	-0.038610682914692815
2013-10-27	-0.025883752785499294
2013-10-28	-0.029278416351161136
2013-10-29	-0.025415053280755134
2013-10-30	-0.023455667231908457
2013-10-31	-0.02289592385792752
2013-11-01	-0.028357633579952336
2013-11-02	-0.02710754144822549
2013-11-03	-0.02207739493058239
2013-11-04	-0.009057139822547244
2013-11-05	-0.02646162853606185
2013-11-06	-0.01540334711788588
2013-11-07	-0.016435172918023058
2013-11-08	-0.01985476861937817
2013-11-09	-0.02926027082807601
2013-11-10	-0.030415301526137258
2013-11-11	-0.021361265533281784
2013-11-12	-0.006279057699446908
2013-11-13	-0.01935960326514885
2013-11-14	-0.019902214797615933
2013-11-15	-0.012294173337038347
2013-11-16	-0.02763562356868722
2013-11-17	-0.01485473471435432
2013-11-18	-0.016093056586218304
2013-11-19	-0.007083482188316462
2013-11-20	-0.007362706396101551
2013-11-21	-0.019872631176176075
2013-11-22	-0.011580883763862695
2013-11-23	-0.0178993700425968
2013-11-24	-0.019265396038389684
2013-11-25	-0.011290468413205995
2013-11-26	-0.006743082899418759
2013-11-27	-0.016490617262660698
2013-11-28	-0.012814208057930779
2013-11-29	-0.018616455901586337
2013-11-30	-0.02500460176615705
2013-12-01	-0.01631702434360628
2013-12-02	-0.010926012838563995
2013-12-03	-0.006171255892027827
2013-12-04	-0.008066488600777036
2013-12-05	-0.017586157789487245
2013-12-06	-0.01578523907555396
2013-12-07	-0.02262576111131264
2013-12-08	-0.02011672692365965
2013-12-09	-0.014311628843008642
2013-12-10	-0.008234752279939916
2013-12-11	-0.014415568737574727
2013-12-12	-0.013692641901941513
2013-12-13	-0.01186398951731607
2013-12-14	-0.010236451490565707
2013-12-15	-0.015666529280943614
2013-12-16	-0.007918679700393436
2013-12-17	-0.017317708222287148
2013-12-18	-0.003714448814340951
2013-12-19	-0.015625360799140522
2013-12-20	-0.014667566945240865
2013-12-21	-0.01866698742915049
2013-12-22	-0.01551626265957795
2013-12-23	-0.024377472909255578
2013-12-24	-0.006138617570642074
2013-12-25	-0.013017340461518784
2013-12-26	-0.015150687872182642
2013-12-27	-0.023107507256908882
2013-12-28	-0.015074980977107022
2013-12-29	-0.02231164763455462
2013-12-30	-0.010013795612643484
2013-12-31	-0.009974154068754584
2014-01-01	-0.009485784340204383
2014-01-02	-0.007762012595425985
2014-01-03	-0.009332242998587037
2014-01-04	-0.010995050456845706
2014-01-05	-0.0076915223206251715
2014-01-06	0.005237787775281069
2014-01-07	-0.011541456068043437
2014-01-08	-0.010497028064643046
2014-01-09	-0.010115883364000627
2014-01-10	-0.01481595832550496
2014-01-11	-0.01712209211550654
2014-01-12	-0.006233887455884379
2014-01-13	-0.009828421258703493
2014-01-14	-0.008791517329363854
2014-01-15	-0.004142742931947885
2014-01-16	-0.009158120743292933
2014-01-17	-0.0075982961775620805
2014-01-18	-0.013954524982391844
2014-01-19	-0.012416163760567492
2014-01-20	0.0018623669011954558
2014-01-21	-0.009377451289220226
2014-01-22	-0.003948454924890862
2014-01-23	-0.0029557624352400252
2014-01-24	-0.003234319208500591
2014-01-25	-0.013549097365851609
2014-01-26	-0.013489085467315531
2014-01-27	-0.01102483340332519
2014-01-28	-0.00556629839376066
2014-01-29	-0.0035731883030224176
2014-01-30	-0.009788164144231545
2014-01-31	-0.0040453150727043224
2014-02-01	-0.01684800018650251
2014-02-02	-0.004586607295160999
2014-02-03	0.0016337426966869795
2014-02-04	-4.1854768135979326e-05
2014-02-05	-0.008869938649776227
2014-02-06	-0.005716272495131944
2014-02-07	-0.008510307058945718
2014-02-08	-0.004804352736014719
2014-02-09	-0.0034491434159303336
2014-02-10	-0.0071237019835000415
2014-02-11	-0.014820480060613025
2014-02-12	-0.002279410866545456
2014-02-13	-0.003758656561434301
2014-02-14	-0.004948522891496429
2014-02-15	-0.007360462592814795
2014-02-16	-0.006365121299477819
2014-02-17	-0.0021285843502428653
2014-02-18	-0.0066213238897379345
2014-02-19	-0.005442546099405157
2014-02-20	-0.0045146579538554305
2014-02-21	-0.003438102511709548
2014-02-22	-0.001359953032916028
2014-02-23	-0.0006282989520763615
2014-02-24	-0.008216142701813894
2014-02-25	-0.010852995108549368
2014-02-26	-0.006253269396077413
2014-02-27	-0.008390772087865414
2014-02-28	-0.009520397817629311
2014-03-01	-0.013384622687119
2014-03-02	-0.00793198742831111
2014-03-03	-0.002728620177396779
2014-03-04	-0.000891317447691567
2014-03-05	-0.003130368354210905
2014-03-06	-0.00985785911986238
2014-03-07	-0.009656810419364198
2014-03-08	-0.006669658003721823
2014-03-09	-0.003475008213506381
2014-03-10	-0.006793792845206786
2014-03-11	-0.004474704157603773
2014-03-12	-0.00796794723952636
2014-03-13	-0.01423475009850017
2014-03-14	-0.0015095481731191018
