PERIOD	VALUE
2015-01-01	0.005098274852180909
2015-01-02	-0.0015107692665733419
2015-01-03	-0.0036085428003408415
2015-01-04	0.001036041110958369
2015-01-05	0.0008522037312794634
2015-01-06	-0.004269128053033228
2015-01-07	0.0026935598131351823
2015-01-08	-0.0050836591196155995
2015-01-09	0.0012972999359185111
2015-01-10	0.0009083008589406971
2015-01-11	-0.006813285637391045
2015-01-12	-0.0034718733440081834
2015-01-13	-0.005423267586115332
2015-01-14	-0.004843584689510461
2015-01-15	-0.004594224974417319
2015-01-16	-0.006925170274989373
2015-01-17	-0.008797959446769837
2015-01-18	-0.0018558097784820426
2015-01-19	-0.005123679215013527
2015-01-20	-0.006945000277517405
2015-01-21	0.0009063889208603959
2015-01-22	-0.0003728830489106161
2015-01-23	-0.00431086225602198
2015-01-24	-0.00974880465905692
2015-01-25	-0.0013887981037351838
2015-01-26	-0.0008074414077148956
2015-01-27	0.006324291067602558
2015-01-28	-0.006012806676596136
2015-01-29	-0.0016649167491139955
2015-01-30	-0.0006166694731599559
2015-01-31	-0.0017280784652908554
2015-02-01	-0.005635924448578536
2015-02-02	8.753043539265482e-05
2015-02-03	0.00034340778462139954
2015-02-04	-0.001983494179464307
2015-02-05	-0.0031705918089106333
2015-02-06	-0.0033321818794993657
2015-02-07	-0.0029657917621624535
2015-02-08	-3.804462883309767e-05
2015-02-09	0.002316830707443221
2015-02-10	-0.0029212298400625863
2015-02-11	0.0023542842111173995
2015-02-12	0.0027833365886448386
2015-02-13	-0.0003267020982669344
2015-02-14	-0.0023410427351893415
2015-02-15	-0.0001867647682495116
2015-02-16	-0.0036609282974878476
2015-02-17	-0.00026195751458629735
2015-02-18	-0.003002827243943809
2015-02-19	-0.00763467673777278
2015-02-20	-0.0012092636958136033
2015-02-21	-0.007022921292752671
2015-02-22	-0.007122617431034636
2015-02-23	-0.007147408229367366
2015-02-24	-0.001815819878400765
2015-02-25	-0.008044070146191587
2015-02-26	-0.004523978988598326
2015-02-27	-0.0010597771565515474
2015-02-28	-0.0045983622173739885
2015-03-01	-0.001880568466671964
2015-03-02	-9.742241622984205e-05
2015-03-03	-7.656795667258798e-05
2015-03-04	-0.0038357981594271534
2015-03-05	-0.0026008255873128383
2015-03-06	-0.003427426639699069
2015-03-07	-0.0034942925035119365
2015-03-08	-0.006065611168122195
2015-03-09	0.0042000422976160995
2015-03-10	0.00035730577503303995
2015-03-11	-0.003867344723825064
2015-03-12	-0.0015607212894241662
2015-03-13	-0.0071922819204599114
2015-03-14	-0.001463514321061482
2015-03-15	-0.005918640537967423
2015-03-16	-0.0032056554774749363
2015-03-17	-0.0014428905810268955
2015-03-18	-8.867486274437286e-05
2015-03-19	-0.0008158986762229897
2015-03-20	-0.0006040658862069004
2015-03-21	-0.0026574455433520383
2015-03-22	-0.007155487605715258
2015-03-23	-0.004542495238405858
2015-03-24	-0.003092148333166553
2015-03-25	0.004664007818790741
2015-03-26	-0.005076558344143223
2015-03-27	0.0007370117693372424
2015-03-28	-0.005052560470504466
2015-03-29	-0.005642349675316363
2015-03-30	-0.0007275799302486757
2015-03-31	-0.006711319234514138
2015-04-01	-0.002257057107101848
2015-04-02	-0.0068228100641788
2015-04-03	-0.006718234374160387
2015-04-04	-0.006707393184423163
2015-04-05	-0.005286269239094268
2015-04-06	-0.0060371445517610756
2015-04-07	-0.0038179707165324483
2015-04-08	-0.0019977899050386827
2015-04-09	-0.006994521009183796
2015-04-10	-0.005613959892488168
2015-04-11	-0.0026756363688659607
2015-04-12	-0.0002692963466500581
2015-04-13	-0.002397596773255767
2015-04-14	-0.005402640269493594
2015-04-15	-0.008453321247631401
2015-04-16	-0.004637147238303538
2015-04-17	-0.005382453273183568
2015-04-18	-0.007035500446461118
2015-04-19	-0.0038412544740195204
2015-04-20	-0.00013838533904364514
2015-04-21	-0.0016892290867160653
2015-04-22	-0.0014362365666595878
2015-04-23	-0.005251091400759217
2015-04-24	-0.005614528337082328
2015-04-25	-0.0036515984352085418
2015-04-26	-0.0016130053839638614
2015-04-27	-0.005145603917347516
2015-04-28	-0.008997834009431771
2015-04-29	-0.001943578923195799
2015-04-30	-0.003386870009702614
2015-05-01	-0.005741979505908809
2015-05-02	-0.003260442608016431
2015-05-03	-0.005171269992547092
2015-05-04	-0.0036219715988631274
2015-05-05	-0.003695206153070535
2015-05-06	-0.005255644751125749
2015-05-07	-0.003320012323494742
2015-05-08	-0.004625039363358133
2015-05-09	-0.009323373466203669
2015-05-10	-0.00020354560979551906
2015-05-11	-0.003675993937307498
2015-05-12	-0.008242206716599199
2015-05-13	-0.004510406814748583
2015-05-14	-0.002476428252139992
2015-05-15	-0.0037672688148008976
2015-05-16	-0.002433182728770994
2015-05-17	-0.004887045446786101
2015-05-18	-0.0002601845195261271
2015-05-19	-0.005724168988265124
2015-05-20	-0.005350763231961542
2015-05-21	-0.006772337286740843
2015-05-22	-0.004144275133420819
2015-05-23	-0.007996234119908519
2015-05-24	-0.00670270475493287
2015-05-25	0.0004670251875838749
2015-05-26	0.0012700900654133984
2015-05-27	-0.00492303317121745
2015-05-28	-0.003770224265837674
2015-05-29	-0.005133175272034371
2015-05-30	-0.004494380445798585
2015-05-31	-0.005106349239208219
2015-06-01	0.0006301487140139422
2015-06-02	-0.0012790301041281371
2015-06-03	-0.004697793228796876
2015-06-04	0.00010085662652321858
2015-06-05	-0.0042958310212588
2015-06-06	1.0669253485695585e-05
2015-06-07	0.0003960108990265082
2015-06-08	-0.008750786241052341
2015-06-09	-0.0024168106613287887
2015-06-10	-0.0026008194389149225
2015-06-11	-0.0019114500662381767
2015-06-12	-0.00012405040847809912
2015-06-13	0.0003595538784003094
2015-06-14	0.0010561469124106132
2015-06-15	0.0047894396407550666
2015-06-16	-0.0025529013100223236
2015-06-17	-0.001966875927573261
2015-06-18	-0.0014615577954612546
2015-06-19	-0.005953473146371166
2015-06-20	-0.0006645688823081614
2015-06-21	-0.0036395072604286233
2015-06-22	-0.00552238799630507
2015-06-23	0.0008709566817401565
2015-06-24	-0.00437362077480917
2015-06-25	-0.0029618918572679453
2015-06-26	-0.0034724613456804665
2015-06-27	-0.001436963289414936
2015-06-28	-0.006043613269941073
2015-06-29	0.0007047068728455452
2015-06-30	-4.2734265856672615e-05
2015-07-01	-0.0028400721388237016
2015-07-02	0.0012473936334861518
2015-07-03	-0.0047027671317514536
2015-07-04	-0.000645872600597619
2015-07-05	-0.001030052841804241
2015-07-06	-0.0036420083458734293
2015-07-07	-0.007261264733960687
2015-07-08	-0.0038938068457546327
2015-07-09	-0.006183783692973885
2015-07-10	-0.0013388211724963545
2015-07-11	0.00022515716403115338
2015-07-12	-0.004790063483078311
2015-07-13	1.0035233523011944e-05
2015-07-14	-0.0009898796946863492
2015-07-15	-0.008426906150793959
2015-07-16	-0.0016560536646991336
2015-07-17	0.00045952719812202003
2015-07-18	-0.006266454139084138
2015-07-19	-0.003988695704092354
2015-07-20	-0.0008758423773722324
2015-07-21	-0.004801872531825194
2015-07-22	-0.007814357654077592
2015-07-23	-0.002405150664084074
2015-07-24	-0.003965679807020242
2015-07-25	-0.002922545696868825
2015-07-26	-0.006753087257244203
2015-07-27	0.003843246830099692
2015-07-28	-0.0019456157127282908
2015-07-29	-0.002983433307064215
2015-07-30	-0.0063346048978644015
2015-07-31	-0.0009992373504557894
2015-08-01	-0.0025146764009920664
2015-08-02	-0.0049658274602387975
2015-08-03	-0.001272665255241029
2015-08-04	-0.004634453006959985
2015-08-05	0.0007169736297115981
2015-08-06	-0.0029474306404565637
2015-08-07	-0.007609917306896016
2015-08-08	-0.001582856526555751
2015-08-09	-0.0011049038150821172
2015-08-10	-0.003118051155437826
2015-08-11	-0.006034784939235552
2015-08-12	-0.0006484253915229055
2015-08-13	0.0014445955784780223
2015-08-14	-0.006004074522055897
2015-08-15	-0.0027564707306420994
2015-08-16	-0.007306527506809143
2015-08-17	-0.005083731566487934
2015-08-18	-0.0041773180085866585
2015-08-19	-0.007010839531245511
2015-08-20	-0.009346982965103778
2015-08-21	-0.0034375227158498917
2015-08-22	-0.004602198473176097
2015-08-23	-0.004703858909918313
2015-08-24	-0.0034440689215071846
2015-08-25	-0.006731357787215259
2015-08-26	-0.004066117538051653
2015-08-27	-0.001194148125021069
2015-08-28	-0.005647417394847476
2015-08-29	-0.0002863666366219736
2015-08-30	-0.0026859322420048903
2015-08-31	-0.0017762426689581223
2015-09-01	-0.001904313042576003
2015-09-02	-0.0002657890601039381
2015-09-03	0.00019217150780231895
2015-09-04	-0.0026779993584088446
2015-09-05	-0.006318509851360593
2015-09-06	-0.007027097689815756
2015-09-07	0.0007215123655304329
2015-09-08	-0.007602108473324501
2015-09-09	-0.001524872270375996
2015-09-10	-0.002685269334771173
2015-09-11	-0.010093747790034538
2015-09-12	-0.007697420329622312
2015-09-13	-0.0015059919493370516
2015-09-14	0.0018216978407044754
2015-09-15	-0.0045685512350923385
2015-09-16	-0.002906980898094269
2015-09-17	-0.0038893663600128026
2015-09-18	-0.0040882379883129955
2015-09-19	-0.0029669138275816576
2015-09-20	-0.0045563488406624025
2015-09-21	-0.0033610597317492302
2015-09-22	0.0005913599542794468
2015-09-23	-0.000683883558430784
2015-09-24	-0.001986307760613412
2015-09-25	-0.003222664594688951
2015-09-26	-0.005282406636701362
