PERIOD	VALUE
2015-01-01	-0.0029145031636009233
2015-01-02	-0.024038776236280243
2015-01-03	-0.027871646372513784
2015-01-04	-0.012487306235972231
2015-01-05	-0.003977476593812299
2015-01-06	-0.022337347301746593
2015-01-07	-0.012659755499589212
2015-01-08	-0.021900801602643988
2015-01-09	-0.006406983000587382
2015-01-10	-0.019671879653054947
2015-01-11	-0.023489602125754655
2015-01-12	-0.023675958012872186
2015-01-13	-0.017517050320934882
2015-01-14	-0.018076601172835063
2015-01-15	-0.02242347248649533
2015-01-16	-0.02284340830134722
2015-01-17	-0.0305613315042937
2015-01-18	-0.02584685219240966
2015-01-19	-0.020243465399723534
2015-01-20	-0.021969698522873768
2015-01-21	-0.018888370050172965
2015-01-22	-0.02031176890974723
2015-01-23	-0.02215213116517331
2015-01-24	-0.02161833914023173
2015-01-25	-0.019830106028895053
2015-01-26	-0.01744483339731706
2015-01-27	-0.0063476836401963055
2015-01-28	-0.021230302374616927
2015-01-29	-0.009348258159427483
2015-01-30	-0.014008377087401588
2015-01-31	-0.01675717628647093
2015-02-01	-0.014886326132823882
2015-02-02	-0.018591376393784942
2015-02-03	-0.020023822928165277
2015-02-04	-0.021120427683928758
2015-02-05	-0.02501040682126289
2015-02-06	-0.012477696665800689
2015-02-07	-0.019377322923195578
2015-02-08	-0.0171967300340366
2015-02-09	-0.01719767589179369
2015-02-10	-0.015844259017683618
2015-02-11	-0.012065030342923805
2015-02-12	-0.01717089376478359
2015-02-13	-0.021324802826694633
2015-02-14	-0.023087135117818694
2015-02-15	-0.009620345280457479
2015-02-16	-0.020120824896686387
2015-02-17	-0.016080161567538803
2015-02-18	-0.019159501553509442
2015-02-19	-0.030086484320949042
2015-02-20	-0.016623282497823577
2015-02-21	-0.027190464820523105
2015-02-22	-0.020028188730210367
2015-02-23	-0.02059442115240337
2015-02-24	-0.022738144323882964
2015-02-25	-0.03304779551915521
2015-02-26	-0.020288235643676322
2015-02-27	-0.023776778836668275
2015-02-28	-0.024889262731434117
2015-03-01	-0.013425979048829348
2015-03-02	-0.015202530307852846
2015-03-03	-0.01623846846562689
2015-03-04	-0.0203484865586695
2015-03-05	-0.022984535194783648
2015-03-06	-0.02027471712381726
2015-03-07	-0.014321822304706786
2015-03-08	-0.023371241751018332
2015-03-09	0.004237510279426093
2015-03-10	-0.009921768381117815
2015-03-11	-0.021663484424908397
2015-03-12	-0.020969664442405556
2015-03-13	-0.021646720828335228
2015-03-14	-0.017768772876447084
2015-03-15	-0.025290592084220173
2015-03-16	-0.0206465044448369
2015-03-17	-0.01951298925545017
2015-03-18	-0.017412709268177826
2015-03-19	-0.02088821802521003
2015-03-20	-0.01749561333055888
2015-03-21	-0.018898774335507976
2015-03-22	-0.027316186217563557
2015-03-23	-0.01817269023380713
2015-03-24	-0.024120093342284668
2015-03-25	-0.004088317878819553
2015-03-26	-0.02272554396180454
2015-03-27	-0.01270787187994546
2015-03-28	-0.015602453776548925
2015-03-29	-0.026774479227616235
2015-03-30	-0.014615018345253805
2015-03-31	-0.02645150712902429
2015-04-01	-0.023209829020732306
2015-04-02	-0.027471082605634703
2015-04-03	-0.02136024835373268
2015-04-04	-0.026106184494998658
2015-04-05	-0.025098083956879944
2015-04-06	-0.02476299207492716
2015-04-07	-0.02399916544253021
2015-04-08	-0.015654466543880016
2015-04-09	-0.021395536206526206
2015-04-10	-0.022549995410245063
2015-04-11	-0.021137988277115757
2015-04-12	-0.022362970626372283
2015-04-13	-0.02236374284213903
2015-04-14	-0.021219784493446234
2015-04-15	-0.024805448263319055
2015-04-16	-0.020512079674816455
2015-04-17	-0.030189489474492126
2015-04-18	-0.022234297081681703
2015-04-19	-0.020939015354531035
2015-04-20	-0.023324348273785253
2015-04-21	-0.024906295788155952
2015-04-22	-0.018373862384798767
2015-04-23	-0.022371393512826174
2015-04-24	-0.020453547182266538
2015-04-25	-0.022544346977684926
2015-04-26	-0.020397148607305363
2015-04-27	-0.022472293375063734
2015-04-28	-0.031229960354842295
2015-04-29	-0.023813256902566804
2015-04-30	-0.02491055771414441
2015-05-01	-0.02617575856096656
2015-05-02	-0.01762721030788124
2015-05-03	-0.024495718344059364
2015-05-04	-0.023287869680635884
2015-05-05	-0.025433938240773377
2015-05-06	-0.023390450262107856
2015-05-07	-0.024117480600655314
2015-05-08	-0.026081733151383985
2015-05-09	-0.026068854658610155
2015-05-10	-0.011622000027986093
2015-05-11	-0.018242362218762492
2015-05-12	-0.030099252309400054
2015-05-13	-0.021193403415023057
2015-05-14	-0.02034583334058468
2015-05-15	-0.014168371735422222
2015-05-16	-0.022010717864150625
2015-05-17	-0.02590631390493281
2015-05-18	-0.01794106320320539
2015-05-19	-0.028614507115627144
2015-05-20	-0.02638626890545226
2015-05-21	-0.026301163515421846
2015-05-22	-0.02312940193291392
2015-05-23	-0.02580850729841022
2015-05-24	-0.026796914924767684
2015-05-25	-0.01808974225343106
2015-05-26	-0.013818712043412132
2015-05-27	-0.023917158790528192
2015-05-28	-0.025018754531603002
2015-05-29	-0.024826341130833304
2015-05-30	-0.028505088483581173
2015-05-31	-0.023560622005168647
2015-06-01	-0.017486476812199794
2015-06-02	-0.02190606981288029
2015-06-03	-0.025516551281969085
2015-06-04	-0.01691319321700817
2015-06-05	-0.023286751907763484
2015-06-06	-0.01639445848879624
2015-06-07	-0.022405019515588265
2015-06-08	-0.0328797001068281
2015-06-09	-0.028365949157566933
2015-06-10	-0.01840415013111997
2015-06-11	-0.023527774792126074
2015-06-12	-0.019728880558741405
2015-06-13	-0.02014531674580862
2015-06-14	-0.020596805972369764
2015-06-15	-0.013078452582736086
2015-06-16	-0.024135804746279424
2015-06-17	-0.024071717936927292
2015-06-18	-0.028508361929835982
2015-06-19	-0.02701393728693076
2015-06-20	-0.017188326797264494
2015-06-21	-0.01810942667538898
2015-06-22	-0.019433963592902587
2015-06-23	-0.02292909371254795
2015-06-24	-0.026668534084036577
2015-06-25	-0.019617013251405302
2015-06-26	-0.021357997812075064
2015-06-27	-0.02258660301537302
2015-06-28	-0.02033934628989302
2015-06-29	-0.026400228330110354
2015-06-30	-0.024151960333932826
2015-07-01	-0.02197660971098582
2015-07-02	-0.02099271262728046
2015-07-03	-0.022798860119343387
2015-07-04	-0.020505849825815714
2015-07-05	-0.016742793630495995
2015-07-06	-0.027353164096020385
2015-07-07	-0.02766015754200911
2015-07-08	-0.026138594810394156
2015-07-09	-0.02992385377186374
2015-07-10	-0.018469127250656636
2015-07-11	-0.02502816874295341
2015-07-12	-0.024175108714752966
2015-07-13	-0.022482575805420568
2015-07-14	-0.024525221301088307
2015-07-15	-0.034442760812406284
2015-07-16	-0.022564995712297864
2015-07-17	-0.0181922598442473
2015-07-18	-0.024705833574648797
2015-07-19	-0.02659420040000736
2015-07-20	-0.019023680112753016
2015-07-21	-0.02505375604279403
2015-07-22	-0.02894330468851243
2015-07-23	-0.025304301591943343
2015-07-24	-0.028153790516386112
2015-07-25	-0.021338047573418756
2015-07-26	-0.025888683368075996
2015-07-27	-0.017728108141549903
2015-07-28	-0.02874125527630303
2015-07-29	-0.02902893247069356
2015-07-30	-0.02660724878456812
2015-07-31	-0.02120264530263602
2015-08-01	-0.022572924295224256
2015-08-02	-0.025695820016470625
2015-08-03	-0.025612075625508324
2015-08-04	-0.03126077449105938
2015-08-05	-0.02417474184477114
2015-08-06	-0.018464636583150715
2015-08-07	-0.025864088228528023
2015-08-08	-0.02005699561379315
2015-08-09	-0.020225216068697885
2015-08-10	-0.024604151575376113
2015-08-11	-0.032426972665383275
2015-08-12	-0.02340789521742727
2015-08-13	-0.02193141371561176
2015-08-14	-0.02724536720550895
2015-08-15	-0.023816692054698815
2015-08-16	-0.035590989107617696
2015-08-17	-0.02815655761329125
2015-08-18	-0.022894179559923622
2015-08-19	-0.030473959920125263
2015-08-20	-0.02993637972652305
2015-08-21	-0.017823213829552154
2015-08-22	-0.028026865483264773
2015-08-23	-0.029501387493881204
2015-08-24	-0.021916311236849673
2015-08-25	-0.027982931365486893
2015-08-26	-0.018913028691967246
2015-08-27	-0.025522428530871277
2015-08-28	-0.02157203843732773
2015-08-29	-0.017122128632582875
2015-08-30	-0.02231693900075843
2015-08-31	-0.02058933970698422
2015-09-01	-0.017445119020852315
2015-09-02	-0.014582424579908312
2015-09-03	-0.020130770180072047
2015-09-04	-0.028679509293322455
2015-09-05	-0.028357693992040994
2015-09-06	-0.025772409664950605
2015-09-07	-0.012528786896348898
2015-09-08	-0.023194350619560017
2015-09-09	-0.02446679900646305
2015-09-10	-0.022032109664252342
2015-09-11	-0.024693691393097322
2015-09-12	-0.019495084024024778
2015-09-13	-0.018345200515624147
2015-09-14	-0.019170231246261438
2015-09-15	-0.022102529829602396
2015-09-16	-0.02244047719561451
2015-09-17	-0.021110368075607427
2015-09-18	-0.026137441778738946
2015-09-19	-0.015636157237768497
