PERIOD	VALUE
2015-01-31	-0.002477446935887161
2015-02-28	-0.0025757495447097313
2015-03-31	-0.002527025093182296
2015-04-30	-0.00437386526303127
2015-05-31	-0.0042855397825610295
2015-06-30	-0.0019083546270811736
2015-07-31	-0.003021695791542364
2015-08-31	-0.0036946322236945787
2015-09-30	-0.0033157379115867826
2015-10-31	-0.006467548614074591
2015-11-30	-0.006477162324564963
2015-12-31	-0.009001938370430191
2016-01-31	-0.005399635487315175
2016-02-29	-0.006316651614150835
2016-03-31	-0.0065789846508154445
2016-04-30	-0.0071935648320243075
2016-05-31	-0.007525914035087248
2016-06-30	-0.005789638172640882
2016-07-31	-0.005304438689289925
2016-08-31	-0.006375088291046211
2016-09-30	-0.007239303332991649
2016-10-31	-0.008033818516090871
2016-11-30	-0.008860486067083884
2016-12-31	-0.010442400331398528
2017-01-31	-0.0071186903910136845
2017-02-28	-0.008016582220407945
2017-03-31	-0.007634725784778576
2017-04-30	-0.008397235226497197
2017-05-31	-0.008729915497327682
2017-06-30	-0.006270059882870696
2017-07-31	-0.004759640729800615
2017-08-31	-0.003480340089053613
2017-09-30	-0.00582812546518011
2017-10-31	-0.006806543678787445
2017-11-30	-0.005521971044120074
2017-12-31	-0.007495635809627409
2018-01-31	-0.002547178579954768
2018-02-28	-0.0018677972501474859
2018-03-31	-0.0038995759940694133
2018-04-30	-0.002718301234656344
2018-05-31	-0.0024939193797484374
2018-06-30	-0.0003837591335068132
2018-07-31	-0.0032009154933660875
2018-08-31	-0.0026713699013684623
2018-09-30	-0.004146653825838779
2018-10-31	-8.418301200313929e-05
2018-11-30	0.0020087376878821146
2018-12-31	0.0009986666084140013
2019-01-31	0.006619333492759036
2019-02-28	0.006768841128788228
2019-03-31	0.006982036351243505
2019-04-30	0.008158958486348603
2019-05-31	0.008614719223879162
2019-06-30	0.010720442926546447
2019-07-31	0.012359958941228598
2019-08-31	0.011830019848394251
2019-09-30	0.012064655112948597
2019-10-31	0.013620620008563376
2019-11-30	0.011146266658186483
2019-12-31	0.01322300444790247
2020-01-31	0.01869299041488617
2020-02-29	0.019344355152677857
2020-03-31	0.021793786353654303
2020-04-30	0.021971315000160092
2020-05-31	0.022887551272681834
2020-06-30	0.024265401872463465
2020-07-31	0.025207878376983416
2020-08-31	0.02528487833471831
2020-09-30	0.024644218433399367
2020-10-31	0.02537775518428217
2020-11-30	0.02266515582670177
2020-12-31	0.02225745476695586
2021-01-31	0.027344106203549986
2021-02-28	0.02703093299557479
2021-03-31	0.026306869689871906
2021-04-30	0.02754209485728708
2021-05-31	0.02240162752897186
2021-06-30	0.02503834374075987
2021-07-31	0.025635651266063802
2021-08-31	0.024231639054559845
2021-09-30	0.022057251080476386
2021-10-31	0.020720370280078643
2021-11-30	0.020757465454591083
2021-12-31	0.01977986518234731
2022-01-31	0.023392024706203846
2022-02-28	0.021591300004060305
2022-03-31	0.02252269910094571
2022-04-30	0.02018869048012261
2022-05-31	0.02012317241511938
