PERIOD	VALUE
2015-01-31	-0.00917428501442558
2015-02-28	-0.006446940925246683
2015-03-31	-0.009528757253583554
2015-04-30	0.0030283276151890025
2015-05-31	0.003047647699763155
2015-06-30	-0.003298440586009251
2015-07-31	0.004378449667557682
2015-08-31	0.010341121831152034
2015-09-30	0.005996535542368698
2015-10-31	0.01955356006606866
2015-11-30	0.021918667856761446
2015-12-31	0.031432190014937675
2016-01-31	0.01538951154747159
2016-02-29	0.020875610989079477
2016-03-31	0.020902404846303447
2016-04-30	0.02795429520024498
2016-05-31	0.02834414640218526
2016-06-30	0.023300099846216706
2016-07-31	0.023913003038429366
2016-08-31	0.02556096625866704
2016-09-30	0.028460756075973235
2016-10-31	0.03312573889783642
2016-11-30	0.036084682876790675
2016-12-31	0.042727148608335076
2017-01-31	0.022245589908322164
2017-02-28	0.02725302994432041
2017-03-31	0.02824909200924111
2017-04-30	0.027768502506339315
2017-05-31	0.029876599813889296
2017-06-30	0.02277974094943669
2017-07-31	0.013291559966956131
2017-08-31	0.00917241143789998
2017-09-30	0.017301299156054214
2017-10-31	0.016575136866067396
2017-11-30	0.014755358299577916
2017-12-31	0.02366709663676557
2018-01-31	-0.0009197233215452326
2018-02-28	-0.002142612237382366
2018-03-31	0.002298781698904068
2018-04-30	-0.0009052589200300739
2018-05-31	-0.002606843413616487
2018-06-30	-0.012200703823319758
2018-07-31	-0.0018490468286272612
2018-08-31	-0.004788649425803181
2018-09-30	0.002123710111160291
2018-10-31	-0.013552034001568689
2018-11-30	-0.020094897225496258
2018-12-31	-0.020371388565792528
2019-01-31	-0.043315655699815034
2019-02-28	-0.043772806526555144
2019-03-31	-0.04216170555964351
2019-04-30	-0.0502673792900979
2019-05-31	-0.049130377657521325
2019-06-30	-0.056914508353270575
2019-07-31	-0.0636072770661685
2019-08-31	-0.059162245340539134
2019-09-30	-0.052544608144729596
2019-10-31	-0.05965513109195302
2019-11-30	-0.04714043546183169
2019-12-31	-0.05325272951894938
2020-01-31	-0.07788159026633458
2020-02-29	-0.07523457279918871
2020-03-31	-0.08953674836728939
2020-04-30	-0.09015671363063361
2020-05-31	-0.08656726876847222
2020-06-30	-0.08990631358372835
2020-07-31	-0.09255244801412914
2020-08-31	-0.08935623124084015
2020-09-30	-0.08251093871599036
2020-10-31	-0.08583861031387373
2020-11-30	-0.07942315887880677
2020-12-31	-0.07614915518488251
2021-01-31	-0.09411930427308243
2021-02-28	-0.09538394858659914
2021-03-31	-0.08752440665550323
2021-04-30	-0.08858407401595084
2021-05-31	-0.07635340714192436
2021-06-30	-0.07734540624645383
2021-07-31	-0.08029631253669574
2021-08-31	-0.07368953688390534
2021-09-30	-0.05894693504957076
2021-10-31	-0.05706953187028169
2021-11-30	-0.054099387601360245
2021-12-31	-0.05165605854797084
2022-01-31	-0.06611058744038295
2022-02-28	-0.060344211839788366
2022-03-31	-0.06146542900218382
2022-04-30	-0.053903215157566624
2022-05-31	-0.049535185411450196
