PERIOD	VALUE
2015-01-31	-0.018350040707709427
2015-02-28	-0.019986349943557684
2015-03-31	-0.018278072392442665
2015-04-30	-0.023072313709048022
2015-05-31	-0.022999403701861022
2015-06-30	-0.022104928895946858
2015-07-31	-0.024267309747171697
2015-08-31	-0.024699949791555386
2015-09-30	-0.021395789156384064
2015-10-31	-0.026501900307081567
2015-11-30	-0.025222629609609512
2015-12-31	-0.030081970984223473
2016-01-31	-0.023565375743729453
2016-02-29	-0.025439707717950087
2016-03-31	-0.024613817275281464
2016-04-30	-0.027420892447597545
2016-05-31	-0.027244579320294327
2016-06-30	-0.024730252063298187
2016-07-31	-0.0230939387106801
2016-08-31	-0.022847539667936245
2016-09-30	-0.023605960952116607
2016-10-31	-0.026304113127264946
2016-11-30	-0.025931572350256185
2016-12-31	-0.027001313886226612
2017-01-31	-0.020562512498815893
2017-02-28	-0.019919373485586207
2017-03-31	-0.020429042588621833
2017-04-30	-0.020453707043774784
2017-05-31	-0.020152785039957755
2017-06-30	-0.011999807698810561
2017-07-31	-0.007632393693033013
2017-08-31	-0.005844649832690615
2017-09-30	-0.005082108001864173
2017-10-31	-0.0048397923681067516
2017-11-30	-0.0031118389151756315
2017-12-31	-0.005208931023406719
2018-01-31	0.004284355138909704
2018-02-28	0.006842280534379398
2018-03-31	0.00657176973843465
2018-04-30	0.009059558337053368
2018-05-31	0.01169530736963458
2018-06-30	0.01747920776380883
2018-07-31	0.01132121180038377
2018-08-31	0.01264022025573316
2018-09-30	0.0101161609151817
2018-10-31	0.01880551291031532
2018-11-30	0.02149194039075685
2018-12-31	0.023905455363218163
2019-01-31	0.03314531883264626
2019-02-28	0.03256875613941897
2019-03-31	0.03210759179905646
2019-04-30	0.03803485108303745
2019-05-31	0.03718993268179195
2019-06-30	0.0416841424865348
2019-07-31	0.04306316636631932
2019-08-31	0.04193144521085455
2019-09-30	0.0386198028130544
2019-10-31	0.04283621309070261
2019-11-30	0.036486308686107784
2019-12-31	0.040400529482345036
2020-01-31	0.04869413731901956
2020-02-29	0.04649791263409787
2020-03-31	0.05478870888848836
2020-04-30	0.05694570607010553
2020-05-31	0.0545880226361009
2020-06-30	0.052464837786249524
2020-07-31	0.05370068301708766
2020-08-31	0.05205678608311495
2020-09-30	0.049810591627764515
2020-10-31	0.05113492427620115
2020-11-30	0.0490840180515596
2020-12-31	0.04604242586707681
2021-01-31	0.05243225104115189
2021-02-28	0.051775989081322145
2021-03-31	0.04782212391348948
2021-04-30	0.04598017516055904
2021-05-31	0.04026422364984421
2021-06-30	0.03850403829002618
2021-07-31	0.037958241291429544
2021-08-31	0.03490650116764891
2021-09-30	0.026340385342524017
2021-10-31	0.024166478341849353
2021-11-30	0.02272954871798764
2021-12-31	0.02098059259128223
2022-01-31	0.024869477466475165
2022-02-28	0.023881666949939293
2022-03-31	0.022421504448268615
2022-04-30	0.018793673516578853
2022-05-31	0.019541183007826837
