PERIOD	VALUE
2013-01-31	0.019407241984625474
2013-02-28	0.017284924077919123
2013-03-31	0.018344704561598618
2013-04-30	0.014489987786608809
2013-05-31	0.011016851075029527
2013-06-30	0.0036165908443019394
2013-07-31	0.003268689773955812
2013-08-31	0.00020001535879649618
2013-09-30	-0.0057655130819242876
2013-10-31	0.0009152539339546692
2013-11-30	-0.007781449097728312
2013-12-31	-0.013087443242023529
2014-01-31	-0.010642825099037061
2014-02-28	-0.009716246653397641
2014-03-31	-0.0077184377473676884
2014-04-30	-0.004958632248420566
2014-05-31	-0.009269241604644131
2014-06-30	-0.005081121557923046
2014-07-31	-0.005983773108990748
2014-08-31	-0.001926472801242797
2014-09-30	-0.005884353339651166
2014-10-31	0.002050264545975609
2014-11-30	0.004540399375319432
2014-12-31	0.005327928083380264
2015-01-31	-0.0038656006591897057
2015-02-28	0.004160132227701545
2015-03-31	0.0016277341037465001
2015-04-30	0.007332984895245988
2015-05-31	0.005716119387747934
2015-06-30	0.004852582808577736
2015-07-31	0.012761975442781162
2015-08-31	0.011527596860269322
2015-09-30	0.007140978250645055
2015-10-31	0.01051730413880269
2015-11-30	0.0031721100367335707
2015-12-31	0.011474961040010622
2016-01-31	0.007266067271936873
2016-02-29	0.013013968068087998
2016-03-31	0.01064857066876843
2016-04-30	0.012190058123671854
2016-05-31	0.008532099585688704
2016-06-30	0.008680131436666535
2016-07-31	0.0033379018534645762
2016-08-31	0.0044444394357281
2016-09-30	0.008555116605344663
2016-10-31	0.015492235300901687
2016-11-30	0.012117745803769779
2016-12-31	0.016809038372414358
2017-01-31	0.01219369703216087
2017-02-28	0.011419438272503761
2017-03-31	0.01120784128930732
2017-04-30	0.010503287133906296
2017-05-31	0.012034327016255047
2017-06-30	0.01267263771214805
2017-07-31	0.01204280664795768
2017-08-31	0.010116548852382673
2017-09-30	0.01045757419969852
2017-10-31	0.005538314832040324
2017-11-30	0.013120485739571116
2017-12-31	0.01667749697631762
2018-01-31	0.018147641272845582
2018-02-28	0.01372303068742922
2018-03-31	0.02027184222750394
2018-04-30	0.016222172805014687
2018-05-31	0.01628197623256387
2018-06-30	0.016569755538794154
2018-07-31	0.018631826567547236
2018-08-31	0.019908011173866653
2018-09-30	0.01626522753999537
2018-10-31	0.009127997995484971
2018-11-30	0.007148771972818004
2018-12-31	-2.6113864710262275e-05
2019-01-31	0.0025302402221053133
2019-02-28	-9.166930007273509e-07
2019-03-31	-0.0006323153159154808
2019-04-30	-0.003265847236514999
2019-05-31	-0.006568941094226909
2019-06-30	-0.00616876133824588
2019-07-31	-0.009345641915320902
2019-08-31	-0.009419256864532178
2019-09-30	-0.00514588044871012
2019-10-31	-0.012833856693139264
2019-11-30	-0.008699588539959969
2019-12-31	-0.010024622636137492
2020-01-31	-0.016807511430384142
2020-02-29	-0.016976972437768006
2020-03-31	-0.024757434556733432
2020-04-30	-0.019762136885839617
2020-05-31	-0.01750726794400321
2020-06-30	-0.020024718772607412
2020-07-31	-0.01675100611994581
2020-08-31	-0.019518801770913245
2020-09-30	-0.016653477556207958
2020-10-31	-0.020953459907654255
2020-11-30	-0.014677667526903367
2020-12-31	-0.013503747737335349
2021-01-31	-0.015995482373700683
2021-02-28	-0.01589141560984241
2021-03-31	-0.013398340728803767
2021-04-30	-0.01338506579754826
2021-05-31	-0.011601012941406615
2021-06-30	-0.01511709667171205
2021-07-31	-0.017962779141448986
2021-08-31	-0.015332080244355013
2021-09-30	-0.00896967216919008
2021-10-31	-0.009854054146366408
2021-11-30	-0.008940807763620245
2021-12-31	-0.013647496991916254
2022-01-31	-0.012233468221362507
2022-02-28	-0.01687440606928717
2022-03-31	-0.015594164502104461
2022-04-30	-0.01936680857612416
2022-05-31	-0.008634909713004195
